 
!Nā Hehele (Intransitive verbs)

!Nā Hamani (Transitive verbs)

!Nā Kikino (Nouns)
@Nā Holoholona (Animals)
#Ma ka Mahiʻai & Hānaiahuhu (Farm & Household)
ʻĪlio | Dog | EE-lee-oh
Pōpoki | Cat | POH-poh-kee
Puaʻa | Pig | poo-AH-ah
Lio | Horse | LEE-oh
Pipi | Cow/Cattle | PEE-pee
Hipa | Sheep | HEE-pah
ʻIole | Mouse/Rat | ee-OH-leh
Moa | Chicken | MOH-ah
Lāpaki | Rabbit | LAH-pah-kee
Kao | Goat | KOW
Kēkake | Donkey | KEH-kah-keh
Pelehū | Turkey | peh-leh-HOO
@Nā Holoholona (Animals)

!Nā ʻAʻano (Adjectives)

!Nā ʻŌlelo ʻĒ Aʻe (Adverbs)

!Nā ʻŌlelo Pōkole (Short Phrases)

!Nā Kaʻi (leading words, pronouns, possession, etc)
#Nā Papani (Pronouns)
au | me | ow
wau | me | vow
ʻoe | you | oh-eh
‘o ia | he/she/it | oh-EE-ah
kāua | us (me and you) | KAH-oo-ah
māua | us (me and someone else) | MAH-oo-ah
lāua | them (2 people) | LAH-oo-ah
kākou | us (many people) | kah-KOH-oo
mākou | us (many people other than you) | mah-KOH-oo
lākou | them (many people) | lah-KOH-oo
ʻoukou | you all (not me) |  oh-KO

!Nā ʻAmi (Prepositions)

!Nā Huipū (Conjunctions)
